Région;Ancienne région;Département;Zone d'emploi;EPCI;Nom commune;Commune;Grand secteur d'activité;Secteur NA17;Secteur NA38;Secteur NA88;APE;Code région;Code ancienne région;Code département;Code zone d'emploi;Code EPCI;Code commune;Code APE;Nombre d'établissements 2006;Effectifs salariés 2006;Nombre d'établissements 2007;Effectifs salariés 2007;Nombre d'établissements 2008;Effectifs salariés 2008;Nombre d'établissements 2009;Effectifs salariés 2009;Nombre d'établissements 2010;Effectifs salariés 2010;Nombre d'établissements 2011;Effectifs salariés 2011;Nombre d'établissements 2012;Effectifs salariés 2012;Nombre d'établissements 2013;Effectifs salariés 2013;Nombre d'établissements 2014;Effectifs salariés 2014;Nombre d'établissements 2015;Effectifs salariés 2015;Nombre d'établissements 2016;Effectifs salariés 2016;Nombre d'établissements 2017;Effectifs salariés 2017;Nombre d'établissements 2018;Effectifs salariés 2018;Nombre d'établissements 2019;Effectifs salariés 2019;Nombre d'établissements 2020;Effectifs salariés 2020;Nombre d'établissements 2021;Effectifs salariés 2021;Nombre d'établissements 2022;Effectifs salariés 2022;Nombre d'établissements 2023;Effectifs salariés 2023;Nombre d'établissements 2024;Effectifs salariés 2024
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MA Activités juridiques, de conseil et d'ingénierie;"71 Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";7120A Contrôle technique automobile;11;11;92;1109;200054781;92009;7120A;1;3;1;3;1;3;1;3;1;4;1;4;1;4;1;4;1;4;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;4;1;4;1;4
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MC autres activités scientifiques et techniques;74 autres activités spécialisées, scientifiques et techniques;7490A Activité des économistes de la construction;11;11;92;1109;200054781;92009;7490A;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;1;1;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS1 Industrie;C5 autres produits industriels;CB Habillement, textile et cuir;15 Industrie du cuir et de la chaussure;1520Z Fabrication de chaussures;11;11;92;1109;200054781;92009;1520Z;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;0;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS1 Industrie;C5 autres produits industriels;CF Industrie pharmaceutique;21 Industrie pharmaceutique;2120Z Fabrication de préparations pharmaceutiques;11;11;92;1109;200054781;92009;2120Z;1;333;1;318;1;320;1;300;1;282;1;268;1;247;1;245;1;245;1;230;1;230;1;231;1;248;1;250;1;241;1;238;1;247;1;282;1;284
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4332B Travaux de menuiserie métallique et serrurerie;11;11;92;1109;200054781;92009;4332B;2;4;2;5;2;7;1;5;1;9;1;1;2;5;2;4;1;4;2;5;1;3;1;2;1;3;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4399D Autres travaux spécialisés de construction;11;11;92;1109;200054781;92009;4399D;1;14;1;11;2;11;1;9;1;10;2;13;3;13;2;14;2;17;1;8;1;6;2;7;1;7;1;7;1;7;1;12;1;10;1;6;2;8
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4669A Commerce de gros (commerce interentreprises) de matériel électrique;11;11;92;1109;200054781;92009;4669A;;;;;1;1;1;2;1;2;1;3;1;3;1;2;1;2;1;2;1;2;1;2;1;2;1;2;;;1;1;;;1;1;2;223
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4711E Magasins multi-commerces;11;11;92;1109;200054781;92009;4711E;1;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4729Z Autres commerces de détail alimentaires en magasin spécialisé;11;11;92;1109;200054781;92009;4729Z;;;1;6;2;16;2;18;2;16;2;19;2;16;2;18;2;21;4;24;3;31;3;25;2;28;2;28;4;40;3;28;3;25;3;28;3;29
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4754Z Commerce de détail d'appareils électroménagers en magasin spécialisé;11;11;92;1109;200054781;92009;4754Z;2;6;2;5;2;5;2;5;2;5;2;5;2;4;2;4;2;4;1;3;1;3;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4759A Commerce de détail de meubles;11;11;92;1109;200054781;92009;4759A;1;2;1;3;1;3;1;1;;;1;2;1;1;1;3;;;;;;;;;;;;;1;1;1;1;1;1;;;1;1
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4772A Commerce de détail de la chaussure;11;11;92;1109;200054781;92009;4772A;2;4;1;4;1;5;3;8;3;5;2;2;2;2;;;;;;;;;;;1;1;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4774Z Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;11;11;92;1109;200054781;92009;4774Z;;;;;;;;;;;;;1;1;1;2;;;;;;;;;;;1;2;1;2;1;2;1;1;;;1;2
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4782Z Commerce de détail de textiles, d'habillement et de chaussures sur éventaires;11;11;92;1109;200054781;92009;4782Z;;;;;2;15;2;7;1;7;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;49 Transports terrestres et transport par conduites;4910Z Transport ferroviaire interurbain de voyageurs;11;11;92;1109;200054781;92009;4910Z;1;140;1;140;1;143;1;147;1;146;1;143;1;146;1;148;1;125;1;3;2;8;2;5;2;4;1;3;;;;;;;;;;
